"the";39865;6
"and";22134;3
"to";18003;2
"of";16278;2
"in";10946;1
"a";10556;1
"he";9366;1
"that";8170;1
"his";8133;1
"was";8093;1
"with";6282;1
"it";5349;0
"him";4869;0
"her";4746;0
"not";4598;0
"had";4577;0
"on";4432;0
"at";4305;0
"for";4288;0
"as";3929;0
"but";3756;0
"said";3550;0
"i";3517;0
"you";3439;0
"she";3079;0
"from";3015;0
"all";2891;0
"is";2819;0
"by";2456;0
"this";2357;0
"be";2317;0
"which";2299;0
"were";2260;0
"who";2208;0
"prince";2192;0
"what";2160;0
"pierre";2071;0
"one";1987;0
"they";1902;0
"so";1891;0
"up";1861;0
"there";1703;0
"no";1577;0
"if";1543;0
"an";1541;0
"out";1535;0
"them";1529;0
"233";1513;0
"only";1462;0
"did";1453;0
"about";1442;0
"me";1427;0
"have";1415;0
"would";1363;0
"now";1329;0
"been";1307;0
"or";1276;0
"when";1275;0
"my";1253;0
"could";1242;0
"their";1240;0
"its";1219;0
"natasha";1180;0
"himself";1159;0
"andrei";1158;0
"time";1155;0
"more";1123;0
"into";1117;0
"went";1113;0
"french";1104;0
"man";1084;0
"same";1041;0
"princess";1040;0
"are";993;0
"how";977;0
"came";973;0
"over";957;0
"will";928;0
"do";924;0
"then";922;0
"face";919;0
"people";912;0
"old";911;0
"well";891;0
"eyes";845;0
"go";841;0
"after";838;0
"return";824;0
"see";814;0
"moscow";809;0
"other";800;0
"like";796;0
"know";793;0
"marya";791;0
"your";786;0
"rostov";782;0
"down";769;0
"some";769;0
"text";767;0
"room";766;0
"de";763;0
"something";758;0
"thought";752;0
"two";751;0
"count";750;0
"we";749;0
"before";730;0
"first";714;0
"asked";707;0
"began";707;0
"army";693;0
"life";688;0
"very";686;0
"russian";685;0
"still";685;0
"general";661;0
"without";659;0
"left";657;0
"napoleon";654;0
"come";650;0
"because";648;0
"again";647;0
"back";645;0
"these";640;0
"good";631;0
"looked";618;0
"head";617;0
"where";614;0
"say";604;0
"everything";598;0
"little";597;0
"just";595;0
"such";594;0
"way";576;0
"day";575;0
"nikolai";566;0
"long";564;0
"dont";563;0
"those";562;0
"nothing";560;0
"has";556;0
"made";549;0
"men";547;0
"kutuzov";541;0
"our";538;0
"away";535;0
"having";534;0
"than";532;0
"here";532;0
"hand";528;0
"whole";523;0
"can";523;0
"felt";518;0
"love";517;0
"232";516;0
"looking";514;0
"off";511;0
"around";509;0
"why";509;0
"even";508;0
"through";499;0
"suddenly";495;0
"seemed";492;0
"took";489;0
"right";484;0
"yes";483;0
"voice";480;0
"countess";478;0
"never";476;0
"turned";476;0
"under";475;0
"saw";470;0
"words";466;0
"battle";462;0
"young";460;0
"once";458;0
"sovereign";451;0
"going";446;0
"us";446;0
"heard";436;0
"tell";434;0
"im";434;0
"officer";434;0
"war";434;0
"sonya";430;0
"told";430;0
"order";429;0
"any";427;0
"being";426;0
