#Life 1.06
#N Reverce Glider
#R B3/S23
51 31
1 1
2 1
3 1
6 1
7 1
8 1
11 1
12 1
13 1
16 1
17 1
18 1
21 1
22 1
23 1
26 1
27 1
28 1
31 1
32 1
33 1
36 1
37 1
38 1
41 1
42 1
43 1
46 1
47 1
48 1
1 3
2 3
3 3
6 3
7 3
8 3
11 3
12 3
13 3
16 3
17 3
18 3
21 3
22 3
23 3
26 3
27 3
28 3
31 3
32 3
33 3
36 3
37 3
38 3
41 3
42 3
43 3
46 3
47 3
48 3
1 5
2 5
3 5
6 5
7 5
8 5
11 5
12 5
13 5
16 5
17 5
18 5
21 5
22 5
23 5
26 5
27 5
28 5
31 5
32 5
33 5
36 5
37 5
38 5
41 5
42 5
43 5
46 5
47 5
48 5
1 7
2 7
3 7
6 7
7 7
8 7
11 7
12 7
13 7
16 7
17 7
18 7
21 7
22 7
23 7
26 7
27 7
28 7
31 7
32 7
33 7
36 7
37 7
38 7
41 7
42 7
43 7
46 7
47 7
48 7
1 9
2 9
3 9
6 9
7 9
8 9
11 9
12 9
13 9
16 9
17 9
18 9
21 9
22 9
23 9
26 9
27 9
28 9
31 9
32 9
33 9
36 9
37 9
38 9
41 9
42 9
43 9
46 9
47 9
48 9
1 11
2 11
3 11
6 11
7 11
8 11
11 11
12 11
13 11
16 11
17 11
18 11
21 11
22 11
23 11
26 11
27 11
28 11
31 11
32 11
33 11
36 11
37 11
38 11
41 11
42 11
43 11
46 11
47 11
48 11
1 13
2 13
3 13
6 13
7 13
8 13
11 13
12 13
13 13
16 13
17 13
18 13
21 13
22 13
23 13
26 13
27 13
28 13
31 13
32 13
33 13
36 13
37 13
38 13
41 13
42 13
43 13
46 13
47 13
48 13
1 15
2 15
3 15
6 15
7 15
8 15
11 15
12 15
13 15
16 15
17 15
18 15
21 15
22 15
23 15
26 15
27 15
28 15
31 15
32 15
33 15
36 15
37 15
38 15
41 15
42 15
43 15
46 15
47 15
48 15
1 17
2 17
3 17
6 17
7 17
8 17
11 17
12 17
13 17
16 17
17 17
18 17
21 17
22 17
23 17
26 17
27 17
28 17
31 17
32 17
33 17
36 17
37 17
38 17
41 17
42 17
43 17
46 17
47 17
48 17
1 19
2 19
3 19
6 19
7 19
8 19
11 19
12 19
13 19
16 19
17 19
18 19
21 19
22 19
23 19
26 19
27 19
28 19
31 19
32 19
33 19
36 19
37 19
38 19
41 19
42 19
43 19
46 19
47 19
48 19
1 21
2 21
3 21
6 21
7 21
8 21
11 21
12 21
13 21
16 21
17 21
18 21
21 21
22 21
23 21
26 21
27 21
28 21
31 21
32 21
33 21
36 21
37 21
38 21
41 21
42 21
43 21
46 21
47 21
48 21
1 23
2 23
3 23
6 23
7 23
8 23
11 23
12 23
13 23
16 23
17 23
18 23
21 23
22 23
23 23
26 23
27 23
28 23
31 23
32 23
33 23
36 23
37 23
38 23
41 23
42 23
43 23
46 23
47 23
48 23
1 25
2 25
3 25
6 25
7 25
8 25
11 25
12 25
13 25
16 25
17 25
18 25
21 25
22 25
23 25
26 25
27 25
28 25
31 25
32 25
33 25
36 25
37 25
38 25
41 25
42 25
43 25
46 25
47 25
48 25
1 27
2 27
3 27
6 27
7 27
8 27
11 27
12 27
13 27
16 27
17 27
18 27
21 27
22 27
23 27
26 27
27 27
28 27
31 27
32 27
33 27
36 27
37 27
38 27
41 27
42 27
43 27
46 27
47 27
48 27
1 29
2 29
3 29
6 29
7 29
8 29
11 29
12 29
13 29
16 29
17 29
18 29
21 29
22 29
23 29
26 29
27 29
28 29
31 29
32 29
33 29
36 29
37 29
38 29
41 29
42 29
43 29
46 29
47 29
48 29
